,DNN Score,Efficiency in Data,Error Low Data,Error High Data,Efficiency in Simulation,Error Low Simulation,Error High Simulation
0,0.96,0.28503,0.00334,0.00334,0.35771,0.00159,0.00159
1,0.961,0.2783,0.00331,0.00331,0.34744,0.00158,0.00158
2,0.962,0.27229,0.00329,0.00329,0.33718,0.00157,0.00157
3,0.963,0.26562,0.00327,0.00327,0.32682,0.00156,0.00156
4,0.964,0.25928,0.00324,0.00324,0.31693,0.00154,0.00154
5,0.965,0.25277,0.00321,0.00321,0.30655,0.00153,0.00153
6,0.966,0.24649,0.00319,0.00319,0.29627,0.00151,0.00151
7,0.967,0.23971,0.00316,0.00316,0.28617,0.0015,0.0015
8,0.968,0.23299,0.00313,0.00313,0.27629,0.00148,0.00148
9,0.969,0.22653,0.00309,0.00309,0.26599,0.00147,0.00147
10,0.97,0.21932,0.00306,0.00306,0.25568,0.00145,0.00145
11,0.971,0.21281,0.00303,0.00303,0.24538,0.00143,0.00143
12,0.972,0.20576,0.00299,0.00299,0.23486,0.00141,0.00141
13,0.973,0.19745,0.00294,0.00294,0.22408,0.00138,0.00138
14,0.974,0.18991,0.0029,0.0029,0.21353,0.00136,0.00136
15,0.975,0.18182,0.00285,0.00285,0.20336,0.00134,0.00134
16,0.976,0.17389,0.0028,0.0028,0.1924,0.00131,0.00131
17,0.977,0.16613,0.00275,0.00275,0.18286,0.00128,0.00128
18,0.978,0.15924,0.00271,0.00271,0.17302,0.00126,0.00126
19,0.979,0.15159,0.00265,0.00265,0.16312,0.00123,0.00123
20,0.98,0.14415,0.0026,0.0026,0.15376,0.0012,0.0012
21,0.981,0.13546,0.00253,0.00253,0.1446,0.00117,0.00117
22,0.982,0.12803,0.00247,0.00247,0.13557,0.00114,0.00114
23,0.983,0.12092,0.00241,0.00241,0.12621,0.0011,0.0011
24,0.984,0.11294,0.00234,0.00234,0.11796,0.00107,0.00107
25,0.985,0.10545,0.00227,0.00227,0.10972,0.00104,0.00104
26,0.986,0.09938,0.00221,0.00221,0.10152,0.001,0.001
27,0.987,0.09211,0.00214,0.00214,0.09355,0.00096,0.00096
28,0.988,0.08544,0.00207,0.00207,0.08577,0.00093,0.00093
29,0.989,0.07877,0.00199,0.00199,0.07803,0.00089,0.00089
30,0.99,0.07363,0.00193,0.00193,0.07009,0.00085,0.00085
31,0.991,0.06691,0.00185,0.00185,0.06244,0.0008,0.0008
32,0.992,0.06073,0.00177,0.00177,0.05533,0.00076,0.00076
33,0.993,0.05423,0.00167,0.00167,0.04793,0.00071,0.00071
34,0.994,0.0469,0.00156,0.00156,0.0408,0.00066,0.00066
35,0.995,0.04084,0.00146,0.00146,0.03366,0.0006,0.0006
36,0.996,0.03406,0.00134,0.00134,0.02652,0.00053,0.00053
37,0.997,0.02739,0.00121,0.00121,0.0197,0.00046,0.00046
38,0.998,0.0199,0.00103,0.00103,0.01291,0.00038,0.00038
39,0.999,0.01055,0.00076,0.00076,0.00574,0.00025,0.00025
40,0.999,0.01055,0.00076,0.00076,0.00574,0.00025,0.00025
41,0.99901,0.01044,0.00075,0.00075,0.00568,0.00025,0.00025
42,0.99902,0.01033,0.00075,0.00075,0.00563,0.00025,0.00025
43,0.99903,0.01028,0.00075,0.00075,0.00559,0.00025,0.00025
44,0.99904,0.01028,0.00075,0.00075,0.00551,0.00025,0.00025
45,0.99905,0.01011,0.00074,0.00074,0.00547,0.00025,0.00025
46,0.99906,0.01006,0.00074,0.00074,0.00544,0.00025,0.00025
47,0.99907,0.00984,0.00073,0.00073,0.0053,0.00024,0.00024
48,0.99908,0.00968,0.00072,0.00072,0.00522,0.00024,0.00024
49,0.99909,0.00957,0.00072,0.00072,0.00519,0.00024,0.00024
50,0.9991,0.00957,0.00072,0.00072,0.00514,0.00024,0.00024
51,0.99911,0.00957,0.00072,0.00072,0.00509,0.00024,0.00024
52,0.99912,0.0094,0.00071,0.00071,0.00505,0.00024,0.00024
53,0.99913,0.00935,0.00071,0.00071,0.00502,0.00024,0.00024
54,0.99914,0.00913,0.0007,0.0007,0.00493,0.00023,0.00023
55,0.99915,0.00913,0.0007,0.0007,0.00488,0.00023,0.00023
56,0.99916,0.00902,0.0007,0.0007,0.00484,0.00023,0.00023
57,0.99917,0.00902,0.0007,0.0007,0.00476,0.00023,0.00023
58,0.99918,0.00897,0.0007,0.0007,0.00471,0.00023,0.00023
59,0.99919,0.00875,0.00069,0.00069,0.00461,0.00023,0.00023
60,0.9992,0.00875,0.00069,0.00069,0.00456,0.00023,0.00023
61,0.99921,0.00875,0.00069,0.00069,0.00453,0.00023,0.00023
62,0.99922,0.00869,0.00069,0.00069,0.00446,0.00023,0.00023
63,0.99923,0.00858,0.00068,0.00068,0.00438,0.00022,0.00022
64,0.99924,0.00858,0.00068,0.00068,0.00432,0.00022,0.00022
65,0.99925,0.00858,0.00068,0.00068,0.00423,0.00022,0.00022
66,0.99926,0.00858,0.00068,0.00068,0.00407,0.00022,0.00022
67,0.99927,0.00858,0.00068,0.00068,0.00398,0.00021,0.00021
68,0.99928,0.00853,0.00068,0.00068,0.00388,0.00021,0.00021
69,0.99929,0.00847,0.00068,0.00068,0.00379,0.00021,0.00021
70,0.9993,0.00842,0.00068,0.00068,0.00374,0.00021,0.00021
71,0.99931,0.00836,0.00067,0.00067,0.00367,0.00021,0.00021
72,0.99932,0.00825,0.00067,0.00067,0.00364,0.0002,0.0002
73,0.99933,0.0082,0.00067,0.00067,0.00358,0.0002,0.0002
74,0.99934,0.00815,0.00066,0.00066,0.00353,0.0002,0.0002
75,0.99935,0.00815,0.00066,0.00066,0.00347,0.0002,0.0002
76,0.99936,0.00809,0.00066,0.00066,0.00341,0.0002,0.0002
77,0.99937,0.00804,0.00066,0.00066,0.0034,0.0002,0.0002
78,0.99938,0.00804,0.00066,0.00066,0.00333,0.0002,0.0002
79,0.99939,0.00793,0.00066,0.00066,0.00325,0.00019,0.00019
80,0.9994,0.00782,0.00065,0.00065,0.00322,0.00019,0.00019
81,0.99941,0.00776,0.00065,0.00065,0.00313,0.00019,0.00019
82,0.99942,0.00776,0.00065,0.00065,0.00309,0.00019,0.00019
83,0.99943,0.00754,0.00064,0.00064,0.00306,0.00019,0.00019
84,0.99944,0.00749,0.00064,0.00064,0.00303,0.00019,0.00019
85,0.99945,0.00738,0.00063,0.00063,0.00297,0.00019,0.00019
86,0.99946,0.00722,0.00063,0.00063,0.00292,0.00019,0.00019
87,0.99947,0.00722,0.00063,0.00063,0.00286,0.00018,0.00018
88,0.99948,0.00711,0.00062,0.00062,0.00278,0.00018,0.00018
89,0.99949,0.007,0.00062,0.00062,0.0027,0.00018,0.00018
