name,width [GeV],ctau [mm],xsec[pb],uncertainty on xsec[pb]
HNL_e_mN_1p0_coupling_0p01_13p6TeV,4.763649e-17,4142.34902451329,3.454,0.02415
HNL_e_mN_2p0_coupling_0p01_13p6TeV,1.525792e-15,129.32756750771867,3.453,0.02477
HNL_e_mN_3p0_coupling_0p01_13p6TeV,1.16602e-14,16.923120348084687,3.448,0.0247
HNL_e_mN_4p0_coupling_0p01_13p6TeV,4.993229e-14,3.9518910084583956,3.441,0.02466
HNL_e_mN_5p0_coupling_0p01_13p6TeV,1.554456e-13,1.2694278119338025,3.434,0.02461
HNL_e_mN_6p0_coupling_0p01_13p6TeV,3.918375e-13,0.5035938823689338,3.422,0.02444
HNL_e_mN_7p0_coupling_0p01_13p6TeV,8.558033e-13,0.23057514253887204,3.411,0.02435
HNL_e_mN_8p0_coupling_0p01_13p6TeV,1.682325e-12,0.11729420170462727,3.394,0.02422
HNL_e_mN_9p0_coupling_0p01_13p6TeV,3.056709e-12,0.0645553658796886,3.381,0.02414
HNL_e_mN_10p0_coupling_0p01_13p6TeV,5.225052e-12,0.03776555101896346,3.367,0.02393
HNL_mu_mN_1p0_coupling_0p01_13p6TeV,4.763649e-17,4142.34902451329,3.454,0.02415
HNL_mu_mN_2p0_coupling_0p01_13p6TeV,1.525792e-15,129.32756750771867,3.453,0.02477
HNL_mu_mN_3p0_coupling_0p01_13p6TeV,1.16602e-14,16.923120348084687,3.448,0.0247
HNL_mu_mN_4p0_coupling_0p01_13p6TeV,4.993229e-14,3.9518910084583956,3.441,0.02466
HNL_mu_mN_5p0_coupling_0p01_13p6TeV,1.554456e-13,1.2694278119338025,3.434,0.02461
HNL_mu_mN_6p0_coupling_0p01_13p6TeV,3.918375e-13,0.5035938823689338,3.422,0.02444
HNL_mu_mN_7p0_coupling_0p01_13p6TeV,8.558033e-13,0.23057514253887204,3.411,0.02435
HNL_mu_mN_8p0_coupling_0p01_13p6TeV,1.682325e-12,0.11729420170462727,3.394,0.02422
HNL_mu_mN_9p0_coupling_0p01_13p6TeV,3.056709e-12,0.0645553658796886,3.381,0.02414
HNL_mu_mN_10p0_coupling_0p01_13p6TeV,5.225052e-12,0.03776555101896346,3.367,0.02393
HNL_tau_mN_1p0_coupling_0p01_13p6TeV,1.311606e-17,15044.6832267264,3.453,0.02476
HNL_tau_mN_2p0_coupling_0p01_13p6TeV,4.188926e-16,471.06816373155567,3.45,0.02473
HNL_tau_mN_3p0_coupling_0p01_13p6TeV,3.819529e-15,51.66264423774163,3.444,0.02466
HNL_tau_mN_4p0_coupling_0p01_13p6TeV,2.251868e-14,8.762812379888034,3.44,0.02466
HNL_tau_mN_5p0_coupling_0p01_13p6TeV,8.85966e-14,2.227252150564887,3.428,0.02453
HNL_tau_mN_6p0_coupling_0p01_13p6TeV,2.595839e-13,0.7601664351399954,3.418,0.02442
HNL_tau_mN_7p0_coupling_0p01_13p6TeV,6.25722e-13,0.3153588460733953,3.405,0.0243
HNL_tau_mN_8p0_coupling_0p01_13p6TeV,1.323504e-12,0.14909434945624422,3.391,0.02418
HNL_tau_mN_9p0_coupling_0p01_13p6TeV,2.518489e-12,0.07835133204184615,3.382,0.02402
HNL_tau_mN_10p0_coupling_0p01_13p6TeV,4.447062e-12,0.04437243462824154,3.361,0.02382
