name,width [GeV],ctau [mm],xsec[pb],uncertainty on xsec[pb]
HNL_e_mN_1p0_coupling_0p01_13TeV,4.763649e-17,4142.34902451329,3.279,0.02373
HNL_e_mN_2p0_coupling_0p01_13TeV,1.525792e-15,129.32756750771867,3.277,0.02371
HNL_e_mN_3p0_coupling_0p01_13TeV,1.16602e-14,16.923120348084687,3.273,0.02366
HNL_e_mN_4p0_coupling_0p01_13TeV,4.993229e-14,3.9518910084583956,3.267,0.02361
HNL_mu_mN_1p0_coupling_0p01_13TeV,4.763649e-17,4142.34902451329,3.279,0.02373
HNL_mu_mN_2p0_coupling_0p01_13TeV,1.525792e-15,129.32756750771867,3.277,0.02371
HNL_mu_mN_3p0_coupling_0p01_13TeV,1.16602e-14,16.923120348084687,3.273,0.02366
HNL_mu_mN_4p0_coupling_0p01_13TeV,4.993229e-14,3.9518910084583956,3.267,0.02361
HNL_tau_mN_1p0_coupling_0p01_13TeV,1.311606e-17,15044.6832267264,3.276,0.02369
HNL_tau_mN_2p0_coupling_0p01_13TeV,4.188926e-16,471.06816373155567,3.276,0.02368
HNL_tau_mN_3p0_coupling_0p01_13TeV,3.819529e-15,51.66264423774163,3.271,0.02363
HNL_tau_mN_4p0_coupling_0p01_13TeV,2.251868e-14,8.762812379888034,3.263,0.02363
